platform,country,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,engagement_rate,trend_label,source_hint,notes,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,sample_comments,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,row_id,engagement_total,like_rate,dislike_rate,engagement_per_1k,engagement_like_rate,engagement_comment_rate,engagement_share_rate
TikTok,Es,Europe,es,News,#FYP,Underrated artists you need to hear,LeilaOfficial,licensed,Neutral piano,1,29,1115432,134449,14815,15300,8661,0.155299,seasonal,TikTok Creative Center,tutorial overlay,iOS,8,Music,11,Medium,101402.91,685,0.013282,0.013717,0.007765,195.989796,Friday,Morning,Regular,"cover, beat, music",Â¡IncreÃ­ble!,89929.7,Mid,Spring,1/3/2025,2025-01,Stay â€” Cover ðŸ˜‚,14,1,21.6,0.745,Xiaomi,Search,1,7a34894cdaff8704789c281ba3f316e3,173225,0.120535,0.000614,155.299,0.120535362,0.01328185,0.013716659
YouTube,Ar,South America,es,Art,#Coding,My Favorite College Apps,CookingWithAli,original,Indie brush,1,24,1078408,28849,3947,2828,1875,0.034773,declining,Open Web Samples,tutorial overlay,iOS,22,Tech,42,Evergreen,25676.38,1007,0.00366,0.002622,0.001739,28.62004,Friday,Evening,HolidaySeason,"tools, tech, apps, ai",Â¡IncreÃ­ble!,132796.4,Mid,Winter,1/3/2025,2025-01,AI Tools You Must Try in 2025 ðŸ§ ,31,1,13.1,0.546,iPhone,Home,1,4780c75627f06d0e116b70a1c11c31b6,37499,0.026751,0.000934,34.773,0.026751471,0.003660025,0.002622384
YouTube,Eg,Africa,ar,Comedy,#Skincare,Skincare routine for Productivity,NextMedia,original,Goofy bass,1,33,679554,35767,5132,3427,3222,0.069969,declining,TikTok Creative Center,split-screen,Android,17,Beauty,3,Short,226518,1911,0.007552,0.005043,0.004741,18.70659,Saturday,Evening,Regular,"skincare, tips, beauty",Ù…Ø´ Ù‚Ø§Ø¯Ø± Ø£Ø¨Ø·Ù„ Ø§ØªÙØ±Ø¬ ðŸ˜‚,106288.7,Mid,Fall,1/4/2025,2025-01,Skincare Routine for Office,27,0,18.4,0.558,Vivo,Home,1,132f5234c9fc8b1a1eb37ddffa0f6024,47548,0.052633,0.002812,69.969,0.052633051,0.007552012,0.005043014
TikTok,Ma,Africa,ar,Comedy,#Wanderlust,Street Food Tour in London,JiwooChannel,licensed,Goofy bass,1,18,523341,38765,3426,3529,2406,0.091959,declining,TikTok Creative Center,text-to-speech,iOS,18,Travel,5,Short,104668.2,743,0.006546,0.006743,0.004597,52.103495,Saturday,Evening,Regular,"vlog, food tour, travel, hidden gems, guide",Ø¬Ø§Ù…Ø¯ Ø¬Ø¯Ù‹Ø§ ðŸ”¥,99969.1,Mid,Spring,1/4/2025,2025-01,Hidden Gems of Istanbul,23,0,14.7,0.817,Samsung,ForYou,1,5e20d531117a187644bc865cb25e45e5,48126,0.074072,0.00142,91.959,0.074072163,0.006546401,0.006743213
TikTok,Cn,Asia,zh,Finance,#FYP,Hidden Gems of Dubai,OfficialAli,licensed,Clean corporate bed,1,33,648049,53281,3923,4600,9454,0.109958,declining,TikTok Creative Center,cinematic b-roll,iOS,22,Travel,4,Short,162012.25,653,0.006054,0.007098,0.014588,81.469419,Friday,Evening,SummerBreak,"vlog, guide, travel",Instant like!,169151.3,Mid,Summer,1/3/2025,2025-01,Hidden Gems of Dubai,20,0,19.3,0.585,Samsung,ForYou,1,73190ace599315a39a031509ac623a56,71258,0.082218,0.001008,109.958,0.082217548,0.006053555,0.007098229
TikTok,Ma,Africa,ar,Music,#Esports,Valorant â€” Insane Highlights!,GuruYoussef,trending,EDM drop,1,38,625877,45166,5470,5639,2961,0.094645,rising,Public Reports,b-roll heavy,Android,20,Gaming,6,Short,104312.83,1112,0.00874,0.00901,0.004731,40.580413,Friday,Evening,Regular,"fps, valorant, esports, highlights",Ù…Ø´ Ù‚Ø§Ø¯Ø± Ø£Ø¨Ø·Ù„ Ø§ØªÙØ±Ø¬ ðŸ˜‚,111310.2,Mid,Spring,1/3/2025,2025-01,Best Settings for Fortnite ðŸŽ®,28,1,25.6,0.674,Samsung,ForYou,1,00163276e3f6d697f6464525c47adec9,59236,0.072164,0.001777,94.645,0.072164339,0.008739736,0.009009758
YouTube,Cn,Asia,zh,Sports,#Lifestyle,Morning Routine â€” Budget,GamingWithLeila,licensed,Drumline,1,26,576167,25088,2294,2299,1562,0.054226,declining,Public Reports,emoji overlays,Android,18,Lifestyle,4,Short,144041.75,935,0.003981,0.00399,0.002711,26.803419,Friday,Evening,BackToSchool,"motivation, lifestyle, routine",So underrated!,115624.3,Mid,Fall,1/3/2025,2025-01,Weekly Reset â€” Productivity,27,0,14.1,0.542,iPhone,Home,1,95c45710d5ac1df30b4539c18369055e,31243,0.043543,0.001623,54.226,0.043542931,0.003981485,0.003990163
YouTube,Gb,Europe,en,Fashion,#HiddenGems,24 Hours in Dubai,OfficialHassan,licensed,Runway loop,1,31,1067376,32115,2721,2768,1979,0.037084,rising,Public Reports,text-to-speech,iOS,9,Travel,51,Evergreen,20928.94,3181,0.002549,0.002593,0.001854,10.092709,Sunday,Morning,BackToSchool,"vlog, travel, food tour",Instant like!,123924.6,Mid,Fall,1/5/2025,2025-01,24 Hours in Tokyo,17,0,17.2,0.555,Xiaomi,Suggested,1,264b23a61b352e3c0da303395b3848bc,39583,0.030088,0.00298,37.084,0.030087804,0.002549242,0.002593275
TikTok,Cn,Asia,zh,Travel,#FYP,If Productivity was honest,LifeOfJames,licensed,Waves & bells,1,26,503679,15823,2181,1245,2428,0.043037,rising,TikTok Creative Center,meme template,Android,17,Comedy,18,Medium,27982.17,603,0.00433,0.002472,0.004821,26.19702,Wednesday,Evening,SummerBreak,"funny, comedy, sketch, relatable",Thanks for this!,116234.3,Mid,Summer,1/1/2025,2025-01,When your friend is College ðŸ§ ,29,1,13.5,0.519,iPhone,Following,0,7b7b5147f9aabdfaa7627a1b7b5892d9,21677,0.031415,0.001197,43.037,0.03141485,0.004330139,0.002471812
TikTok,Es,Europe,es,Music,#FYP,GRWM â€” Budget Look,FatmaOfficial,trending,K-pop hook,1,27,1197913,62714,7484,7509,4089,0.068282,seasonal,Open Web Samples,tutorial overlay,iOS,20,Beauty,5,Short,239582.6,1455,0.006248,0.006268,0.003413,43.072802,Saturday,Evening,Regular,"beauty, skincare, grwm, makeup, tips",Â¡IncreÃ­ble!,91694.7,Mid,Fall,1/4/2025,2025-01,GRWM â€” Minimal Look âœ¨ ðŸ”¥,23,1,14.3,0.53,iPhone,ForYou,1,8c7b953ddf02123128928a0e9ebc9ce9,81796,0.052353,0.001215,68.282,0.052352717,0.006247532,0.006268402
TikTok,Us,North America,en,Music,#Gaming,New Patch Tips for Fortnite,BeautyByAmr,trending,EDM drop,1,16,565006,24010,1703,2710,1496,0.052953,declining,Open Web Samples,storytime,iOS,14,Gaming,8,Medium,70625.75,175,0.003014,0.004796,0.002648,136.420455,Sunday,Afternoon,Regular,"highlights, gaming, clips, esports, valorant, fps",Thanks for this!,90734.5,Mid,Spring,1/5/2025,2025-01,Best Settings for Minecraft âš½,29,1,9.6,0.6,iPhone,ForYou,1,70cd1106d39dd2831c74dfa2d8ac4a42,29919,0.042495,0.00031,52.953,0.042495124,0.003014127,0.004796409
YouTube,Gb,Europe,en,Science,#Dance,Morning Routine â€” 2025,TrueMedia,licensed,Microscope hum,1,90,830272,26714,3097,2214,2290,0.04133,declining,Public Reports,text-to-speech,iOS,0,Dance,53,Evergreen,15665.51,1001,0.00373,0.002667,0.002758,26.660679,Friday,Night,Regular,"challenge, trend, dance",Thanks for this!,97756.8,Mid,Winter,1/3/2025,2025-01,Try this move ðŸ‘‰,15,0,64.7,0.719,Samsung,Search,1,08a2d7f295ff375a16bd85c55f9f1091,34315,0.032175,0.001206,41.33,0.032174998,0.003730103,0.002666596
TikTok,De,Europe,de,Travel,#Motivation,Weekly Reset â€” Summer,AmrTV,trending,Backpack beat,2,30,505039,35136,4477,4277,2310,0.091478,seasonal,TikTok Creative Center,meme template,Android,14,Education,11,Medium,45912.64,1565,0.008865,0.008469,0.004574,22.436782,Sunday,Afternoon,HolidaySeason,"learn, study, notes",So underrated!,115920.9,Mid,Winter,1/12/2025,2025-01,How I Take Notes for Budget,27,0,24.8,0.827,Xiaomi,ForYou,1,5d0f378bfd839d9bd277fb8865f221af,46200,0.069571,0.003099,91.478,0.069570865,0.008864662,0.008468653
TikTok,Fr,Europe,fr,Art,#BookTok,Weekly Reset â€” Summer,AhmedYT,licensed,Indie brush,2,23,522621,33495,2505,2324,4345,0.081644,rising,TikTok Creative Center,text-to-speech,iOS,17,Education,3,Short,174207,267,0.004793,0.004447,0.008314,124.981343,Tuesday,Evening,Regular,"productivity, learn, notes, tips",Merci pour le partage !,97201.9,Mid,Spring,1/7/2025,2025-01,Exam Day Routine âš½,18,1,14.5,0.63,iPhone,Following,0,773da8284795d057956fa927a47cca0e,42669,0.06409,0.000511,81.644,0.064090421,0.004793148,0.004446817
TikTok,Za,Africa,en,DIY,#FYP,Weekly Reset â€” Beginners,Liam,trending,Tape measure click,2,75,653835,24318,2069,3415,4568,0.052567,stable,TikTok Creative Center,emoji overlays,iOS,4,Lifestyle,16,Medium,40864.69,974,0.003164,0.005223,0.006986,24.941538,Sunday,Night,Regular,"routine, lifestyle, daily",This is fire ðŸ”¥,134259.1,Mid,Winter,1/12/2025,2025-01,Morning Routine â€” Budget,24,0,63.1,0.841,Oppo,ForYou,1,8c8b4d0dc5da827b5b0186da942c935a,34370,0.037193,0.00149,52.567,0.03719287,0.003164407,0.00522303
TikTok,Co,South America,es,Fashion,#Workout,Morning Routine â€” Budget,OfficialAyaka,original,Runway loop,2,33,605008,41835,5008,4041,2678,0.088531,stable,TikTok Creative Center,subtitles,iOS,16,Sports,34,Evergreen,17794.35,1037,0.008278,0.006679,0.004426,40.303468,Friday,Afternoon,Regular,"workout, gym, football, sports",No puedo parar de mirar ðŸ˜‚,109856.9,Mid,Fall,1/10/2025,2025-01,Football skills in 60s,22,0,24.3,0.736,iPhone,ForYou,1,a01d41f6f014dd12662b0f93158e317f,53562,0.069148,0.001714,88.531,0.069147846,0.008277576,0.006679251
TikTok,Ae,Asia,ar,Food,#FYP,Stay â€” Cover,StreetHub,trending,Street vibe,2,58,543898,25139,1692,2895,2387,0.059042,rising,TikTok Creative Center,cinematic b-roll,Android,17,Music,8,Medium,67987.25,177,0.003111,0.005323,0.004389,141.230337,Friday,Evening,SummerBreak,"cover, music, beat, song",ØªØ­ÙØ© Ø¨ØµØ±Ø§Ø­Ø©!,100507.4,Mid,Summer,1/10/2025,2025-01,Perfect â€” Cover ðŸŽ¯,17,1,37.5,0.647,Samsung,Search,1,808e8b3a9000826abeaddcbf53a12eef,32113,0.04622,0.000325,59.042,0.046220063,0.003110877,0.005322689
TikTok,Pl,Europe,pl,Finance,#FYP,Night Routine â€” Budget,AyakaVlogs,original,Clean corporate bed,2,14,873931,50661,7262,5110,3995,0.076697,declining,TikTok Creative Center,facecam,Android,23,Lifestyle,10,Medium,87393.1,1576,0.00831,0.005847,0.004571,32.124921,Friday,Night,Regular,"routine, daily, lifestyle, motivation",This is fire ðŸ”¥,96208.1,Mid,Winter,1/10/2025,2025-01,Weekly Reset â€” Productivity,27,0,8.6,0.614,Vivo,ForYou,1,7325235f43677c6be8ec0d8a20610533,67028,0.057969,0.001803,76.697,0.057969107,0.008309581,0.005847144
YouTube,Jp,Asia,ja,Lifestyle,#Coding,Build This in 10 Minutes,PrimeVision,original,Chill guitar,2,51,592969,15426,2224,1539,1295,0.034545,stable,TikTok Creative Center,hook in 2s,Android,15,Tech,21,Medium,28236.62,630,0.003751,0.002595,0.002184,24.44691,Friday,Afternoon,SummerBreak,"apps, tools, tech, tutorial, ai",æœ€é«˜ã§ã™ï¼,96426.1,Mid,Summer,1/10/2025,2025-01,Build This in 10 Minutes,24,0,21.9,0.429,Samsung,Home,1,c723ef3d83cb2d68e05f30ccd96a2ef7,20484,0.026015,0.001062,34.545,0.026014851,0.003750618,0.002595414
YouTube,Id,Asia,id,Pets,#Gaming,EA FC 25 â€” Insane Highlights!,OmarVlogs,original,Cute whistle,2,15,555500,11317,876,1405,1886,0.027874,seasonal,TikTok Creative Center,tutorial overlay,Android,15,Gaming,4,Short,138875,745,0.001577,0.002529,0.003395,15.170241,Monday,Afternoon,Regular,"esports, valorant, highlights, gaming",Instant like!,96938.3,Mid,Fall,1/6/2025,2025-01,Insane GTA V Highlights! ðŸ§ ,26,1,7.9,0.527,Xiaomi,Home,0,d1f2da7fa219bc3f7f735cea94050ad5,15484,0.020373,0.001341,27.874,0.020372637,0.001576958,0.002529253
YouTube,Se,Europe,sv,Education,#Motivation,Weekly Reset â€” College,GamingWithDiego,trending,Calm piano,2,56,538823,32255,2625,2656,1975,0.073328,seasonal,TikTok Creative Center,emoji overlays,Android,23,Education,7,Short,76974.71,2476,0.004872,0.004929,0.003665,13.021801,Thursday,Night,Regular,"study, productivity, learn",This is fire ðŸ”¥,87973.3,Mid,Winter,1/9/2025,2025-01,How I Take Notes for Budget ðŸ”,29,1,39.8,0.711,iPhone,Search,0,35f6e481110afac85f0ad1d66602ec5c,39511,0.059862,0.004595,73.328,0.059861958,0.00487173,0.004929262
YouTube,Ma,Africa,ar,Sports,#Workout,Night Routine â€” Budget,DanceWithLina,original,Stadium chant,2,29,658719,21361,3100,2430,1415,0.042971,seasonal,Open Web Samples,storytime,Web,3,Sports,16,Medium,41169.94,1186,0.004706,0.003689,0.002148,17.995788,Friday,Night,Regular,"workout, football, sports",Ù…Ø´ Ù‚Ø§Ø¯Ø± Ø£Ø¨Ø·Ù„ Ø§ØªÙØ±Ø¬ ðŸ˜‚,109275.4,Mid,Winter,1/10/2025,2025-01,Speed drills for beginners,26,0,19,0.655,Desktop,External,1,99ecf151f85ec392a2c3c66843e99bad,28306,0.032428,0.0018,42.971,0.032428091,0.004706104,0.003688978
TikTok,De,Europe,de,Education,#StreetFood,5-Minute Croissant,InsideHub,original,Chalkboard beat,2,27,924307,72765,8999,7689,4708,0.101872,declining,Open Web Samples,jumpcut edits,Web,19,Food,55,Evergreen,16805.58,2399,0.009736,0.008319,0.005094,30.31875,Tuesday,Evening,Regular,"street food, fast, kitchen, recipe",Instant like!,97125.1,Mid,Fall,1/7/2025,2025-01,I tried making Koshari ðŸ˜‚,24,1,19,0.704,Desktop,ForYou,0,512742d6cc122303bce716c7094c312e,94161,0.078724,0.002595,101.872,0.078723844,0.009735943,0.008318665
TikTok,Ae,Asia,ar,Fitness,#StudyWithMe,Morning Routine â€” Productivity,NextMedia,trending,Cardio loop,2,24,576615,53081,7099,3635,3358,0.116495,declining,TikTok Creative Center,text-to-speech,iOS,16,Education,4,Short,144153.75,737,0.012312,0.006304,0.005824,71.925474,Sunday,Afternoon,SummerBreak,"study, tips, notes, learn",ØªØ­ÙØ© Ø¨ØµØ±Ø§Ø­Ø©!,106288.7,Mid,Summer,1/12/2025,2025-01,Study With Me â€” Beginners,25,0,20.2,0.842,iPhone,ForYou,1,c82f94d6b774a61600ebe6745ffbda75,67173,0.092056,0.001278,116.495,0.092056225,0.012311508,0.006304033
TikTok,Sa,Asia,ar,Travel,#Dance,Weekly Reset â€” Productivity,SofiaPro,trending,Waves & bells,2,56,700742,51571,6881,6923,4284,0.099407,rising,TikTok Creative Center,facecam,Android,0,Dance,3,Short,233580.67,1754,0.00982,0.00988,0.006114,29.385185,Tuesday,Night,HolidaySeason,"music, trend, dance",Ù…Ø´ Ù‚Ø§Ø¯Ø± Ø£Ø¨Ø·Ù„ Ø§ØªÙØ±Ø¬ ðŸ˜‚,93389,Mid,Winter,1/7/2025,2025-01,New Dance Challenge! ðŸ”¥,22,1,32,0.571,iPhone,ForYou,0,85f3fdf978ec35f07671019fde510a45,69659,0.073595,0.002503,99.407,0.073594847,0.009819591,0.009879528
TikTok,Ar,South America,es,Finance,#Lifestyle,Night Routine â€” Productivity,VividWorks,trending,Clean corporate bed,2,18,895833,61417,7142,7431,4100,0.089403,seasonal,TikTok Creative Center,subtitles,Android,1,Lifestyle,6,Short,149305.5,2871,0.007972,0.008295,0.004577,21.384749,Saturday,Night,Regular,"motivation, routine, lifestyle",Â¡IncreÃ­ble!,129372.5,Mid,Spring,1/11/2025,2025-01,Morning Routine â€” Productivity ðŸŽ¯,32,1,11.3,0.628,Xiaomi,ForYou,1,67a12f5f71068dc2e55db460ccd0e305,80090,0.068559,0.003205,89.403,0.068558537,0.007972468,0.008295073
TikTok,It,Europe,it,Gaming,#FYP,Street Food Tour in Istanbul,GuruJiwoo,trending,Trap beat,2,21,963297,48751,5352,4208,8443,0.069297,declining,Public Reports,subtitles,Android,7,Travel,47,Evergreen,20495.68,487,0.005556,0.004368,0.008765,99.89959,Saturday,Morning,SummerBreak,"travel, guide, hidden gems, vlog",So underrated!,82588.7,Mid,Summer,1/11/2025,2025-01,24 Hours in Istanbul,20,0,11.5,0.548,iPhone,Following,1,816ea44709e7c2239e7906c38404f166,66754,0.050608,0.000506,69.297,0.050608483,0.005555919,0.004368331
TikTok,Sa,Asia,ar,Gaming,#Cover,Underrated artists you need to hear,NoahYT,trending,Trap beat,2,23,815295,52525,8418,7110,4445,0.088922,declining,Public Reports,split-screen,iOS,18,Music,4,Short,203823.75,1368,0.010325,0.008721,0.005452,38.367421,Sunday,Evening,Ramadan,"music, song, beat",ØªØ­ÙØ© Ø¨ØµØ±Ø§Ø­Ø©!,91480.6,Mid,Spring,1/12/2025,2025-01,Underrated artists to hear,26,0,18.1,0.787,iPhone,Following,1,96a9647e4c07b12d440cf262bb874b56,72498,0.064425,0.001678,88.922,0.064424533,0.010325097,0.00872077
YouTube,Pl,Europe,pl,Sports,#StudyWithMe,Night Routine â€” Budget,OliviaChannel,trending,Drumline,2,45,995529,28813,4425,3465,3450,0.040333,seasonal,TikTok Creative Center,meme template,Android,20,Education,57,Evergreen,17465.42,3843,0.004445,0.003481,0.003465,7.495578,Thursday,Evening,SummerBreak,"study, notes, tips, productivity, learn",So underrated!,141830.1,Mid,Summer,1/9/2025,2025-01,Exam Day Routine ðŸ“±,18,1,22.5,0.5,Vivo,Home,0,16834aeb8055d328ffa171fb3e67bca5,40153,0.028942,0.00386,40.333,0.028942401,0.004444873,0.003480562
YouTube,Co,South America,es,Lifestyle,#StudyWithMe,Weekly Reset â€” Productivity,BeautyByOlivia,licensed,Morning vibe,2,62,848061,21343,1878,2172,1336,0.031518,rising,Public Reports,facecam,Web,23,Education,18,Medium,47114.5,1907,0.002214,0.002561,0.001575,11.186059,Friday,Night,SummerBreak,"learn, productivity, notes, tips",Â¡IncreÃ­ble!,102520.5,Mid,Summer,1/10/2025,2025-01,How I Take Notes for Beginners,30,0,42.8,0.69,Desktop,Home,1,d3c5f1f9bae0cad8584b497ed63b2335,26729,0.025167,0.002249,31.518,0.025166822,0.002214463,0.002561137
YouTube,Gb,Europe,en,News,#FYP,Weekly Reset â€” Summer,StreetMedia,licensed,Neutral piano,2,28,506568,22047,1471,1602,1322,0.052198,rising,Public Reports,storytime,iOS,20,Lifestyle,4,Short,126642,2629,0.002904,0.003162,0.00261,8.38289,Monday,Evening,Regular,"motivation, lifestyle, routine, daily",Canâ€™t stop watching ðŸ˜‚,90954.4,Mid,Spring,1/6/2025,2025-01,Night Routine â€” Beginners ðŸ’ª,27,1,19.6,0.7,iPhone,Suggested,0,4afad5347ebe7399da8db9cfc32abb46,26442,0.043522,0.00519,52.198,0.043522291,0.002903855,0.003162458
TikTok,Es,Europe,es,Food,#FYP,If Summer was honest,SaraOfficial,original,Sizzle ASMR,2,10,558698,30286,3304,2859,2655,0.069991,declining,TikTok Creative Center,split-screen,Web,22,Comedy,20,Medium,27934.9,1064,0.005914,0.005117,0.004752,28.437559,Friday,Evening,BackToSchool,"sketch, comedy, funny",No puedo parar de mirar ðŸ˜‚,87342.1,Mid,Fall,1/10/2025,2025-01,When your friend is Budget ðŸ˜‚,28,1,7.3,0.73,Desktop,ForYou,1,7141bb4dee2b6e5cce61a669ad8dc36a,39104,0.054208,0.001904,69.991,0.054208177,0.005913749,0.005117255
TikTok,Ru,Europe,ru,Pets,#FYP,Morning Routine â€” 2025,NoahChannel,trending,Cute whistle,2,23,982433,102490,12939,8869,6542,0.13318,rising,Open Web Samples,jumpcut edits,Android,8,Pets,6,Short,163738.83,962,0.01317,0.009028,0.006659,106.42783,Friday,Morning,Regular,"cute, pets, dogs",Thanks for this!,133984.4,Mid,Winter,1/10/2025,2025-01,Cutest moments today,20,0,13.9,0.604,Huawei,ForYou,1,4a51897970b3b0a07f6a2235f8d3a0c5,130840,0.104323,0.000979,133.18,0.1043226357420811,0.013170364,0.009027588
